raw_affiliation,DOI
"Dermatology Department, Hospital Universitario Insular de Gran Canaria, Universidad de Las Palmas de Gran Canaria, Las Palmas de Gran Canaria, Spain",3
"Medical Oncology Department, Hospital Universitario La Paz, CIBERONC CB16/12/00398, Madrid, Spain",3
"GEICAM Spanish Breast Cancer Group, Madrid, Spain",3
"Rheumatology Department, Hospital Regional Universitario de Málaga, Málaga, Spain",3
"Servicio de Otorrinolaringología, Hospital del Mar, Barcelona, Spain",3
Hospital Clínic de Barcelona  Barcelona Spain,3
"Medical Oncology Department, Hospital General Universitario de Alicante, Alicante, Spain",3
"Department of Radiology, Hospital del Mar, 08003 Barcelona, Spain",3
"Rheumatology Department, Hospital de la Santa Creu i Sant Pau, Barcelona, Spain",3
"Department of Dermatology, Hospital del Mar, Parc de Salut Mar, Barcelona, Spain",3
"Hospital Universitario la Paz, Madrid, Spain",3
Institut d'Investigacions Biomèdiques August Pi i Sunyer (IDIBAPS)  Barcelona Spain,3
"Hospital Clinico Universitario, INCLIVA, Valencia, Spain",3
"Dermatology Department, Hospital Universitario De Araba, Vitoria, Spain",3
"Dermatology Department, Hospital General Universitario Jose Ma Morales Meseguer, Murcia, Spain",3
"Gastroenterology Department, Hospital Universitario Central de Asturias, Oviedo, Spain",3
"Hospital Clinico San Carlos, Madrid, Spain",3
"Institut d'Investigacions Biomèdiques August Pi i Sunyer (IDIBAPS), Barcelona, Spain",3
"Centro de Investigación Biomédica en Red de Salud Mental (CIBERSAM), Instituto Carlos III, Madrid, Spain",3
"Nephrology Department, Fundació Puigvert, 08025 Barcelona, Spain",3
"Department of Hematology, Vall d'Hebron Institute of Oncology (VHIO), Vall d'Hebron Hospital Universitari, Vall d'Hebron Barcelona Hospital Campus, C/ Natzaret, 115-117, 08035, Barcelona, Spain",3
"Global Research on Wellbeing (GRoW), Blanquerna Faculty of Health Sciences, Ramon Llull University, 08022 Barcelona, Spain",3
"CIBER de Enfermedades Respiratorias (CIBERES), Instituto de Salud Carlos III, Madrid, Spain",3
"Hospital Universitario Fundación Alcorcón, Madrid, Spain",3
"Servicio de Cirugía Torácica, Hospital Universitario Ramón y Cajal, Madrid, Spain",3
"Hospital Universitario Principe de Asturias, Alcalà de Henares, Madrid, Spain",3
"Hospital Universitario Miguel Servet, Zaragoza, Spain",3
"Department of Dermatology, Hospital General Universitario de Alicante, Alicante, Spain",3
"Hospital Universitario de Cruces, Barakaldo, España",3
"Centro de Investigación Biomédica en Red Fisiopatología de la Obesidad y la Nutrición (CIBEROBN), Institute of Health Carlos III, Madrid, Spain",3
"CIBER de Enfermedades Infecciosas (CIBERINFEC), Instituto de Salud Carlos III, Madrid, Spain",3
Complejo Hospitalario de Navarra,3
"GREpS, Health Education Research Group, Nursing and Physiotherapy Department, University of Lleida, 25008 Lleida, Spain",3
"Medical Oncology Department, Hospital Universitario Clínico San Carlos, Madrid, Spain",3
"Research Institute of Biomedical and Health Sciences (IUIBS), University of Las Palmas de Gran Canaria, 35016 Las Palmas, Spain",3
"Dermatology Department, Hospital General Universitario de Valencia, Valencia, Spain",3
Hospital Universitario Marqués de Valdecilla  Santander Spain,3
"ICO Girona Hospital Josep Trueta, Girona, Spain",3
"CSMIJ Ciutat Vella. Consorci Parc de Salut Mar, Barcelona, Spain",3
"Hospital Álvaro Cunqueiro, Complejo Hospitalario Universitario de Vigo (CHUVI), Vigo, Spain",3
"ImFINE Research Group, Department of Health and Human Performance, Universidad Politécnica de Madrid, 28040 Madrid, Spain",3
"Consorci Sanitari Integral, Hospital Moisés Broggi, Sant Joan Despí, Barcelona, Spain",3
"Hospital de Tortosa Verge de la Cinta (HTVC), Tortosa, Tarragona, Spain",3
"Hospital General Universitario de Albacete, Albacete, Spain",3
"Department of Nephrology, Hospital Universitario La Paz, Madrid, Spain",3
"Cardiology Department, Hospital del Mar, Barcelona, Spain",3
"Microbiology Service, Laboratori de Referència de Catalunya, Hospital del Mar, Barcelona, Spain",3
"ICO L'Hospitalet-Hospital Moises Broggi, Sant Joan Despì, Barcelona, Spain",3
"Universitat Autònoma de Barcelona, Barcelona, Spain",3
Hospital Germans Trias i Pujol,3
"Hospital del Mar Research Institute, Barcelona, Spain.",3
"Department of Experimental and Health Sciences, Faculty of Medicine, Universitat Pompeu Fabra, 08002 Barcelona, Spain",3
"Department of Preventive Medicine, University of Valencia, 46100 Valencia, Spain",3
"Department of Internal Medicine, Hospital del Mar-IMIM, Autonomous University of Barcelona and CIBERFES, Instituto Carlos III, Barcelona, Spain",3
"Gastroenterology Department, Hospital Universitario Ramón y Cajal , Madrid , Spain",3
"Department of Neurosurgery, Hospital Universitario del Mar, Barcelona, Spain",3
"Department of Gastroenterology, Hospital Universitario Central de Asturias, Oviedo, Spain",3
Hospital Universitari Mútua Terrassa  Terrassa Spain,3
"Department of Dermatology, Hospital Universitario Araba, Vitoria, Spain",3
"Hospital Ramon y Cajal, IRYCIS, Madrid, Spain",3
"Gastroenterology Department, Hospital Universitario de Salamanca , Salamanca , Spain",3
"Medical Oncology Department, Hospital del Mar, 08003 Barcelona, Spain",3
"Hematology Department, Hospital Vall d'Hebron, Barcelona, Spain",3
"Servicio de Cardiología, Hospital del Mar, Barcelona, Spain",3
"Hospital Universitari Vall d'Hebron, Barcelona, Spain",3
"Clínica Universidad de Navarra, Pamplona, Spain",3
Dermatology Department Complejo Asistencial Universitario de León  León Spain,3
"Department of Evolutionary Biology, Ecology and Environmental Sciences, Faculty of Biology, University of Barcelona, Biomedicine Institute of the University of Barcelona (IBUB), Barcelona, Spain",3
"Faculty of Sport Sciences, San Antonio Catholic University of Murcia, 30107 Murcia, Spain",3
"Hospital del Mar, Barcelona",3
"Department of Dermatology, Hospital Universitario Infanta Leonor, Madrid, Spain",3
"Hematology Department, Hospital del Mar, 08003 Barcelona, Spain",3
"Hospital General Universitario de Valencia, Valencia, Spain",3
"Hematology Department, Hospital del Mar, Barcelona, Spain",3
"Department of Neurology, Hospital del Mar, Barcelona, Spain",3
"CIBER of Epidemiology and Public Health (CIBERESP), Madrid, Spain",3
"Hospital Doce de Octubre, Madrid, Spain",3
"Hospital Universitario Araba, Vitoria, Spain",3
"Stroke Unit, Department of Neurology, Santa Creu i Sant Pau Hospital, Barcelona, Spain",3
"Department of Dermatology, Hospital Universitario de Fuenlabrada, Madrid, Spain",3
"Department of Dermatology, Hospital Universitario La Fe, Valencia, Spain",3
"Cancer Research Program, Hospital del Mar Research Institute, Barcelona, Spain",3
"Stroke Unit, Department of Neurology, Mar Hospital, Barcelona, Spain",3
"Department of Physiology, University of Valencia, 46010 Valencia, Spain",3
"Mental Health Department, Servicio Navarro de Salud, Pamplona, Spain",3
"Hospital Universitari Germans Trias i Pujol, Badalona, Spain",3
"Cancer Research Program, IMIM (Hospital del Mar Research Institute), 08003 Barcelona, Spain",3
"Parc de Salut Mar, Barcelona, España",3
"Gastroenterology Department, Hospital Clínico Universitario de Valladolid , Valladolid , Spain",3
"Servicio de Medicina Intensiva, Hospital Universitario Marqués de Valdecilla, Santander, Spain",3
Complejo Asistencial Universitario de Leon,3
"Servicio de Urgencias, Hospital del Mar, Barcelona, España",3
"Consorci Sanitari Integral, Hospital General de L´Hospitalet, L´Hospitalet de Llobregat, Barcelona, Spain",3
"Preventive Medicine Service, Centro Hospitalario Universitario Insular Materno Infantil (CHUIMI), Canarian Health Service, 35016 Las Palmas, Spain",3
"Department of Nursing and Physiotherapy, University of Lleida, Lleida, Spain",3
"Red de Salud Mental de Álava, Vitoria-Gasteiz, Spain",3
"Department of Dermatology, Hospital Universitari Germans Trias i Pujol, Badalona, Spain",3
"Universitario Lucus Augusti (HULA), Lugo, Spain",3
"Centro Médico Teknon, Barcelona, Spain",2
"Department of Radiation Oncology, Hospital Ruber Internacional, Madrid 28034, Spain.",2
"Medical Oncology Department, Hospital de la Santa Creu i Sant Pau, Barcelona, Spain",2
Fundación Hospital de Alcorcón  Madrid Spain,2
"Outcomes'10, Castellón de La Plana, Spain",2
"Hospital Universitario Vall d´Hebron, Barcelona, Spain",2
"Medical Oncology Department, Hospital Universitario Gregorio Marañón, Madrid, Spain",2
"Department of Surgery, Hospital Universitario La Paz, Madrid, Spain",2
"Centre for Biomedical Research in Epidemiology and Public Health (CIBERESP), Madrid, Spain",2
"Department of Hematology, Hospital Universitario de Burgos, Burgos, Spain",2
"Complexo Hospitalario Universitario de Vigo, Vigo, Spain",2
"Department of Hematology, Hospital General Universitario, Valencia, Spain",2
"Faculty of Medicine and Health Sciences, Medicine and Medical Specialties Department Universidad de Alcalá  Alcalá de Henares Spain",2
Dermatology Department Hospital Universitario Infanta Sofía  Madrid Spain,2
"IMIM-Hospital del Mar (Parc de Recerca Biomèdica de Barcelona C/ Doctor Aiguader, 88 08003 Barcelona - Spain)",2
"Department of Dermatology, Hospital del Mar Research Institute, Barcelona, Spain",2
"Hospital Universitario Vall d'Hebron, Barcelona, Spain",2
"IMIM-Hospital del Mar (Parc de Recerca Biomèdica de Barcelona C/ Doctor Aiguader, 88 08003 Barcelona - Espagne)",2
"Stroke Unit, Department of Neurology, Bellvitge Hospital, Barcelona, Spain",2
"Gastroenterology Department, Hospital Universitario Fundación de Alcorcón , Alcorcón , Spain",2
"Stroke Unit, Department of Neurology, Clinic Hospital, Barcelona, Spain",2
"Department of Surgery, Vall d’Hebron University Hospital , Barcelona , Spain",2
"Stroke Unit, Department of Neurology, Girona Biomedical Research Institute (IDIBGI), Doctor Josep Trueta Hospital, Girona, Spain",2
"IMIM, Barcelona, Spain",2
Dermatology Department Hospital Universitario Fundación Alcorcón  Madrid Spain,2
"Department of Surgery, Hospital Universitario La Paz, 28046 Madrid, Spain",2
"Stroke Program/Agency for Health Quality and Assessment of Catalonia, Barcelona, Spain",2
"Complejo Hospitalario de Navarra, 31008 Pamplona, Spain",2
"Medical Oncology Department, Hospital Universitario Nuestra Señora de la Candelaria, Tenerife, Spain",2
"Pathology Department, Vall d'Hebron University Hospital, Barcelona, Spain",2
Hematology Department Hospital Clínic  Barcelona Spain,2
"Parc de Salut MAR, Barcelona, Spain",2
"Department of Dermatology, Hospital Virgen de los Lirios, Alcoy, Spain",2
"Department of Surgery, Hospital Universitario Fundación Alcorcón, Madrid, Spain",2
"Hospital del Mar-CIBERONC, IMIM Research Institute, Barcelona, Spain",2
"Farmacia Hospitalaria. H. de Sagunto, Valencia, Spain",2
"Medical Oncology Department, Hospital Universitario Virgen del Rocío, Seville, Spain",2
"Gastroenterology Department, Hospital Universitario Infanta Leonor , Madrid , Spain",2
"Department of Infectious Diseases, Hospital del Mar-IMIM, Barcelona, Spain",2
"Laboratorio de Nutrición y RCV, UGC de Bioquímica clínica, Hospital Virgen Macarena, Sevilla, España",2
"Department of Dermatology, Hospital Universitario de Salamanca, Salamanca, Spain",2
"Medical Oncology Department, Hospital Universitario Virgen del Rocío, Sevilla, Spain",2
"Cardiovascular Risk and Nutrition Research Group, Hospital del Mar Institute for Medical Research, 08003 Barcelona, Spain",2
"Department of Infectious Diseases, Hospital del Mar, Parc de Salut Mar, Barcelona, Spain",2
"Hospital Universitario de Bellvitge, Barcelona, Spain",2
"Cardiovascular Risk and Nutrition Research Group (CARIN), Hospital del Mar Research Institute (IMIM), 08003 Barcelona, Spain",2
"Fundación Hospital de Alcorcón, 28922 Madrid, Spain",2
"Department of Dermatology, Hospital Universitario de La Princesa, Madrid, Spain",2
"Department of Psychiatry, University of Oviedo, Oviedo, Spain",2
"Medical Oncology Department, Hospital Universitario Vall d’Hebron, Barcelona, Spain",2
"Cardiovascular Risk and Nutrition (Regicor Study Group), Hospital del Mar Research Institute (IMIM), 08003 Barcelona, Spain",2
"Cardiovascular Risk and Nutrition (Regicor Study Group), Hospital del Mar Research Institute (IMIM), Barcelona, Spain",2
"Department of Dermatology, Hospital Universitario de la Princesa, Madrid, Spain",2
"Hospital Universitario Virgen Macarena, 41009 Sevilla, Spain",2
"Department of Dermatology, Hospital Universitario Sagrat Cor, Barcelona, Spain",2
"Servicio de Cardiología, Hospital del Mar, Barcelona, España",2
Department of Gastroenterology Hospital de Mataró  Mataró Spain,2
Department of Gastroenterology Hospital Universitario de La Princesa  Madrid Spain,2
"PAFS Research Group, Faculty of Sports Sciences, La Mancha-Toledo Campus, University of Castilla, 45071 Toledo, Spain",2
"Medical Oncology Department, Hospital Universitario Insular de Gran Canaria, Las Palmas de Gran Canaria, Spain",2
Fundació Institut Universitari per a la recerca a l'Atenció Primària de Salut Jordi Gol i Gurina (IDIAPJGol)  Barcelona Spain,2
"Department of Hematology, Hospital Universitario de Álava, Vitoria-Gasteiz, Spain",2
"Centre Fòrum Research Unit, Institute of Neuropsychiatry and Addiction (INAD), Parc de Salut Mar, Barcelona, Spain",2
"HPB Surgery Unit, Hospital del Mar, Barcelona, Spain",2
"Medical Oncology Department, Hospital Virgen del Rocío, Sevilla, Spain",2
"Cardiology Department, Hospital del Mar, 08003 Barcelona, Spain",2
"Medical Oncology Department, Hospital Universitario La Paz, Madrid, Spain",2
"Complexo Hospitalario Universitario de Santiago, Santiago Compostela, Spain",2
"Department of Dermatology, Hospital Universitario Virgen de la Arrixaca, Murcia, Spain",2
"Department of Pulmonology, Hospital del Mar, Barcelona, Spain",2
"Parc Sanitari Sant Joan de Déu, Barcelona, Spain",2
"Hospital Universitario de Canarias, Tenerife, Spain",2
"Hospital Universitario de Canarias, Santa Cruz de Tenerife, Spain.",2
"IdiSNA, Navarra Institute for Health Research, Pamplona, Spain",2
"Pathology Service, Hospital del Mar, Barcelona, Spain",2
"Hospital Universitario de Canarias, San Cristóbal de la Laguna, Santa Cruz de Tenerife, Spain",2
"Department of Psychiatry, Hospital Universitario de Navarra, Pamplona, Spain",2
Internal Medicine,2
"Centre Fòrum Research Unit, Hospital del Mar Research Institute, Barcelona, Spain",2
"Department of Endocrinology and Nutrition, Joan XXIII University Hospital, Pere Virgili Institute of Health Investigations (IISPV), Tarragona, Spain",2
"Gastroenterology Department, Hospital General San Jorge , Huesca , Spain",2
"Department of Endocrinology and Nutrition, Parc Taulí University Hospital, Institute of Investigation and Innovation Parc Tauli (I3PT), Sabadell, Spain",2
Hospital de Sant Pau  Barcelona Spain,2
"Department of Surgery, Clínica Universitaria de Navarra, Pamplona, Spain",2
"Gastroenterology Department, Hospital General Universitario de Ciudad Real , Ciudad Real , Spain",2
"Department of Surgery, Hospital Universitario de Bellvitge, Hospitalet de Llobregat, Spain",2
"Consulta de Riesgo Cardiovascular, Servicio de Medicina Interna, Complejo Asistencial Universitario de Palencia, Palencia, España",2
"Stroke Unit, Department of Neurology, Vall d’Hebron Hospital, Barcelona, Spain",2
"Gastroenterology Department, Hospital General de Granollers , Granollers , Spain",2
"Consorcio Hospital General Universitario de Valencia, Valencia, Spain",2
"Hospital de Valme, Sevilla, Spain",2
Hospital de la Santa Creu i Sant Pau,2
"Consorcio CIBER, M.P. Fisiopatología de la Obesidad y Nutrición (CIBERObn), Instituto de Salud Carlos III (ISCIII), Madrid, Spain",2
"Department of Gastroenterology, Hospital de Viladecans, Viladecans, Spain",2
"Department of Gastroenterology, Hospital Universitario de La Princesa, Madrid, Spain",2
"Hospital de la Santa Creu i Sant Pau, Barcelona, España",2
"Hospital de Tortosa Verge de La Cinta (HTVC), Tortosa, Tarragona, Spain",2
"Interventional Neuroradiology Unit, Hospital Universitario Vithas Madrid Arturo Soria, Madrid, Spain",2
"Gastroenterology Department, Complexo Hospitalario Universitario de Ourense , Ourense , Spain",2
"Gastroenterology Department, Hospital Universitario Puerta de Hierro, Madrid, Spain",2
Hospital de Basurto,2
"Hospital de Cabueñes, 33394 Gijón, Spain",2
"Hospital de Cabueñes, Gijón, Spain",2
"Critical Care Department, Hospital del Mar, Barcelona, Spain",2
"Department of Surgery, Hospital de la Santa Creu i Sant Pau, Barcelona, Spain",2
"Gastroenterology Department, Hospital Clínico Universitario Lozano Blesa, Zaragoza, Spain",2
"Research Center for High Performance Sport, San Antonio Catholic University of Murcia, 30107 Murcia, Spain",2
"Medical Department, Pfizer Oncology, Madrid, Spain",2
Department of Gastroenterology Hospital Universitario Arnau de Vilanova &amp; Hospital Universitario Santa María  Lérida Spain,2
"Complejo Hospitalario Universitario de Albacete, Albacete, Spain",2
"Hospital de La Princesa, Madrid, Spain",2
"Hospital de La Santa Creu I Sant Pau, Barcelona, Spain",2
"Hospital de La Santa Creu i San Pau, Barcelona, Spain",2
"Department of Geriatric Medicine, Parc de Salut Mar, Barcelona, Spain",2
"Pompeu Fabra University, Barcelona, Spain",2
"Hospital de Galdakao, Bilbao, Spain",2
"Hospital del Mar Research Institute, 08003 Barcelona, Spain",2
"Colorectal Surgery, Vall d’Hebron University Hospital , Barcelona, Spain",2
"Colorectal Surgery, Vall d’Hebron University Hospital, Barcelona, Spain",2
"Gastroenterology Department, Hospital Universitario de Fuenlabrada , Fuenlabrada , Spain",2
"Complejo Asistencial Universitario de Burgos, 09006 Burgos, Spain",2
"Gastroenterology Department, Hospital Universitario Río Hortega , Valladolid , Spain",2
Complejo Asistencial Universitario de León  León Spain,2
"Gastroenterology Department, Hospital Universitario de Burgos, Burgos, Spain",2
"Department of Surgery, Hospital Universitario Marqués de Valdecilla, Santander, Spain",2
"Gastroenterology Department, Hospital Universitario de Burgos , Burgos , Spain",2
"Servicio de Medicina Interna, Hospital General Universitario Reina Sofía de Murcia, Universidad de Murcia, Murcia, España",2
"Servicio de Medicina Interna, Hospital Clínico Universitario Lozano Blesa, Zaragoza, España",2
"Consorci Sanitari Integral, Hospital General de L'Hospitalet, L'Hospitalet de Llobregat, 08906 Barcelona, Spain",2
Consorci Sanitari Integral Hospital Moisés Broggi  Sant Joan Despí Barcelona Spain,2
"Gastroenterology Department, Hospital Universitario de Basurto , Bilbao , Spain",2
"Department of Surgery, Hospital Insular de Gran Canaria, Las Palmas de Gran Canaria, Spain",2
Department of Gastroenterology Fundación Jiménez Díaz  Madrid Spain,2
"Complejo Hospitalario Universitario A Coruña, A Coruña, Spain",2
"Servicio de Medicina Interna, Hospital San Pedro, Logroño, España",2
"Cognitive Decline and Movement Disorders Unit, Neurology Department, Hospital del Mar, Barcelona, Spain",2
"Department of Surgery, Hospital Universitario Virgen de las Nieves, Granada, Spain",2
"Gastroenterology Department, Hospital Álvaro Cunqueiro , Vigo , Spain",2
"Gastroenterology Department, Hospital del Mar, Barcelona, Spain",2
"Cognitive Impairment and Movement Disorders Unit, Neurology Department, Hospital del Mar, Barcelona, Spain",2
"Department of Gastroenterology, Hospital Universitario de Fuenlabrada, Fuenlabrada, Spain",2
"Cognitive NeuroLab, Universitat Oberta de Catalunya (UOC), Barcelona, Spain",2
