raw_affiliation,DOI
"UPF - Universitat Pompeu Fabra [Barcelona] (Plaça de la Mercè, 10-12 - 08002 Barcelona - Spain)",7
"CREAF, E08193 Bellaterra (Cerdanyola del Vallès), Catalonia, Spain",7
"CIBER de Epidemiología y Salud Pública (CIBERESP), España",7
"Hospital Universitario de Burgos, Burgos, Spain",7
"Fundacion Jimenez Diaz, CIBERES, Faculty of Medicine, Autonoma University of Madrid, Madrid, Spain",7
"Lipid Clinic, Department of Endocrinology and Nutrition, Institut d'Investigacions Biomèdiques August Pi Sunyer (IDIBAPS), Hospital Clínic, Barcelona, Spain",7
"Health Research Institute of the Balearic Islands (IdISBa), 07120 Palma de Mallorca, Spain",7
"University of the Basque Country UPV/EHU, Vitoria-Gasteiz, Spain",7
"Neurobiology of Behaviour Research Group (GReNeC-NeuroBio), Department of Experimental and Health Sciences, Universitat Pompeu Fabra, Barcelona, Spain",7
"Department of Dermatology, Hospital de la Santa Creu i Sant Pau, Barcelona, Spain",7
"Critical Care Department, Hospital del Mar-IMIM, Barcelona, Spain",7
"Laboratory of Neuropharmacology-Neurophar, Department of Medicine and Life Sciences, Universitat Pompeu Fabra (UPF), Barcelona, Spain",7
"Department of Medicine, Autonomous University of Barcelona, Barcelona, Spain",7
"Hospital Universitario Infanta Leonor, Madrid, Spain",7
"Institució Catalana de Recerca i Estudis Avançats (ICREA), Barcelona, Spain",7
"Autonomous University of Barcelona, Barcelona, Spain",7
"Servicio de Medicina Intensiva, Hospital Universitario Marqués de Valdecilla, Santander, Spain",7
"Unit of Cardiovascular Risk and Nutrition, Institut Hospital del Mar de Investigaciones Médicas Municipal d'Investigació Médica (IMIM), Barcelona, Spain",7
"Centro de Investigação em Saúde de Manhiça, Maputo, Mozambique",7
"IMIM (Hospital del Mar Medical Research Institute), 08003 Barcelona, Spain",7
"CIBER Epidemiología y Salud Pública (CIBERESP), Spain",7
"University of Navarra, Department of Preventive Medicine and Public Health, IDISNA, Pamplona, Spain",7
"Department of Experimental and Health Sciences, Universitat Pompeu Fabra (UPF), Barcelona, Spain",6
"Department of Psychiatry, Hospital Universitario Ramón y Cajal, IRYCIS, Universidad de Alcalá, Madrid, Spain",6
"Instituto de Investigación Sanitaria del Principado de Asturias (ISPA), Oviedo, Spain",6
"Barcelona Supercomputing Center (BSC), Barcelona, Spain",6
"Bioaraba Health Research Institute, Cardiovascular, Respiratory and Metabolic Area, Osakidetza Basque Health Service, Araba University Hospital, University of the Basque Country UPV/EHU, Vitoria-Gasteiz, Spain",6
"Department of Endocrinology, Fundación Jiménez-Díaz, Madrid, Spain",6
"ISGlobal, Hospital Clínic—Universitat de Barcelona, Barcelona, Spain",6
"Hospital Clínico San Carlos, Madrid, Spain",6
"Critical Care Department, Hospital Universitario Río Hortega de Valladolid, Valladolid, Spain",6
"Department of Internal Medicine, Hospital Clinic, Institut d'Investigació Biomèdica August Pi i Sunyer (IDIBAPS), University of Barcelona, Barcelona, Spain",6
"Department of Hematology, Hospital del Mar, Barcelona, Spain",6
"Health Services Research Unit, IMIM-Hospital del Mar Medical Research Institute, Barcelona, Spain",6
"BioMIT, Department of Electronic Engineering, Universitat Politècnica de València, Valencia, Spain",6
"Hospital Universitario La Paz, Madrid, Spain",6
"Instituto de Investigación e Innovación Biomédica de Cádiz, INiBICA, Hospital Universitario Puerta del Mar, Cádiz, Spain",6
"Department of Intensive Care Medicine, Hospital Clínico Universitario Valladolid, Valladolid, Spain",6
"Critical Care Department, Hospital Universitario Lucus Augusti, Lugo, Spain",6
"Centro de Investigación Biomédica en Red de Salud Mental (CIBERSAM), Madrid, Spain",6
"Universitat Rovira i Virgili, Departament de Bioquímica i Biotecnologia, Unitat de Nutrició, Reus, Spain",6
"School of Medicine, Universidad Complutense, Madrid, Spain",6
"Department of Clinical and Health Psychology, Autonomous University of Barcelona, Barcelona, Spain",6
"Addictions Unit, Institute of Neurosciences, Hospital Clínic de Barcelona, Barcelona, Spain",6
"Centro de Investigación Biomédica en Red de Enfermedades Infecciosas (CIBERINFEC), Instituto de Salud Carlos III, 28029 Madrid, Spain",6
"Cardiovascular Risk and Nutrition Research Group, Hospital del Mar Medical Research Institute (IMIM), 08003 Barcelona, Spain",6
"Barcelona Institute for Global Health (ISGlobal), Hospital Clínic, University of Barcelona, Barcelona, Spain",6
"Bioaraba Health Research Institute, Osakidetza Basque Health Service, Araba University Hospital, University of the Basque Country UPV/EHU, 01009 Vitoria-Gasteiz, Spain",6
"Department of Experimental and Health Sciences, Pompeu Fabra University, Barcelona, Spain",6
"Intensive Care Unit, Hospital Universitario La Princesa, Madrid, Spain",6
"Department of Dermatology, Hospital del Mar, Barcelona, Spain",6
"Department of Endocrinology, Institut d'Investigacions Biomédiques August Pi Sunyer (IDIBAPS), Hospital Clinic, University of Barcelona, Barcelona, Spain",6
"Catalan Institute of Nanoscience and Nanotechnology (ICN2), CSIC and The Barcelona Institute of Science and Technology, Campus UAB, Bellaterra, 08193 Barcelona, Spain",6
"University Hospital of Sant Joan de Reus, Nutrition Unit, Reus, Spain",6
"Servei de Medicina Intensiva, Hospital Universitari Germans Trias, Badalona, Spain",6
"Department of Allergy and Immunology, Hospital Quironsalud Bizkaia, Bilbao, Spain",6
"Department of Intensive Medicine, Hospital Universitario Infanta Leonor, Madrid, Spain",6
"Department of Clinical Sciences, School of Medicine and Health Sciences, University of Barcelona, Barcelona, Spain",6
"Department of Nutrition, Harvard T.H. Chan School of Public Health, Boston, MA, United States",6
"CIBER Epidemiología y Salud Pública (CIBERESP), Instituto de Salud Carlos III (ISCIII), Madrid, Spain",6
"Department of Cardiology, Hospital del Mar, Barcelona, Spain",6
"Department of Nutrition, Food Sciences, and Physiology, Center for Nutrition Research, University of Navarra, 31008 Pamplona, Spain",6
"Department of Preventive Medicine and Public Health, University of Navarra, IdiSNA, 31008 Pamplona, Spain",6
"Servicio de Cardiología, Hospital del Mar, Barcelona, Spain",6
"Department of Psychiatry and Forensic Medicine, Autonomous University of Barcelona, Barcelona, Spain",6
"Department of Medicine and Life Sciences, Universitat Pompeu Fabra, 08003 Barcelona, Spain",6
"Hospital Universitario de Móstoles, Madrid, Spain",6
"CIBER Diabetes y Enfermedades Metabólicas (CIBERDEM), Instituto de Salud Carlos III (ISCIII), 28029 Madrid, Spain",6
"Instituto de Investigación Sanitaria y Biomédica de Alicante, Universidad Miguel Hernández (ISABIAL-UMH), Alicante, Spain",6
"Department of Preventive Medicine and Public Health, IDISNA, University of Navarra, Pamplona, Spain",5
"Department of Internal Medicine, Maimonides Biomedical Research Institute of Cordoba (IMIBIC), Reina Sofia University Hospital, University of Cordoba, 14004 Cordoba, Spain",5
"Servicio de Medicina Intensiva, Hospital Universitario Ramón y Cajal, Madrid, Spain",5
"Barcelona Clínic Schizophrenia Unit (BCSU), Neuroscience Institute, Hospital Clínic de Barcelona, Barcelona, Spain",5
"Research Group on Nutritional Epidemiology & Cardiovascular Physiopathology (NUTRECOR), Health Research Institute of the Balearic Islands (IdISBa), University Hospital Son Espases (HUSE), Palma de Mallorca, Spain",5
"Institut Hospital del Mar d'Investigacions Mèdiques (IMIM), Barcelona, Spain",5
"Universidad Autónoma de Barcelona, Barcelona, Spain",5
"CogPsy Group, Universidad Complutense de Madrid (UCM), Madrid, Spain",5
"Department of Surgery, Hospital del Mar, Barcelona, Spain",5
"Unit of Cardiovascular Risk and Nutrition, Institut Hospital del Mar de Investigaciones Médicas (IMIM), 08007 Barcelona, Spain",5
"Servei de Medicina Intensiva, Hospital Universitari Son Espases, Palma de Mallorca, Illes Balears, Spain",5
"Centro de Investigación Biomédica en Red Fisiopatología de la Obesidad y la Nutrición (CIBEROBN), Instituto de Salud Carlos III, Madrid, Spain",5
"Osakidetza Basque Health Service, Araba University Hospital",5
Universitat Autònoma de Barcelona,5
"Hospital La Paz Institute for Health Research (IdiPAZ), Madrid, Spain",5
"Department of Clinical Sciences, Faculty of Medicine, University of Barcelona, Barcelona, Spain",5
"Catalan Institution for Research and Advanced Studies (ICREA), 08010 Barcelona, Spain",5
"Intensive Care Unit, Hospital Clínico y Universitario de Valencia, Valencia, Spain",5
"Institute of Biomedicine (IBIOMED), University of León, 24071 León, Spain",5
"Complexo Hospitalario Universitario de Ourense, Ourense, Spain",5
"Department of Endocrinology and Nutrition, Hospital Fundación Jimenez Díaz, Instituto de Investigaciones Biomédicas IISFJD, University Autonoma, Madrid, Spain",5
ISGlobal - Instituto de Salud Global - Institute For Global Health [Barcelona] (Spain),5
"Institut d'Investigacions Biomèdiques August Pi i Sunyer, Barcelona, Spain",5
"Hospital del Mar Research Institute (IMIM), Barcelona, Spain",5
"Departament de Genètica, Microbiologia i Estadística, Facultat de Biologia, Universitat de Barcelona, Barcelona, Spain",5
"Centro de Investigación en Red de Enfermedades Respiratorias (CIBERES), Instituto de Salud Carlos III (ISCIII), Barcelona, Spain",5
"IMIM (Hospital del Mar Research Institute), Barcelona, Spain",5
"Faculty of Medicine and Health Sciences, University of Barcelona, Barcelona, Spain",5
"Cardiovascular Risk and Nutrition Research Group (CARIN), Hospital del Mar Research Institute (IMIM), Barcelona, Spain",5
"Integrative Pharmacology and Systems Neurosciences Research Group, Neurosciences Research Program, Hospital del Mar Medical Research Institute (IMIM), Barcelona, Spain",5
"CIBER Fisiopatología de la Obesidad y Nutrición (CIBEROBN), Instituto de Salud Carlos III, 28029 Madrid, Spain",5
"Institució Catalana de Recerca i Estudis Avançats, Barcelona, Spain",5
"Hospital del Mar, Barcelona, Spain.",5
"Virgen de la Victoria Hospital, Department of Endocrinology, Instituto de Investigación Biomédica de Málaga (IBIMA). University of Málaga, Málaga, Spain",5
"Institut de Neuropsiquiatria i Addiccions, Hospital del Mar, Barcelona, Spain",5
"Departament de Medicina i Cirurgia Animals, Facultat de Veterinària, Universitat Autònoma de Barcelona, Barcelona, Spain",5
"Fundació Institut Universitari per a la recerca a l'Atenció Primària de Salut Jordi Gol i Gurina (IDIAPJGol), Barcelona, Spain",5
"Agència de Salut Pública de Barcelona, Barcelona, Spain",5
"University of Barcelona, Spain",5
Department of Preventive Medicine University of Valencia  Valencia Spain,5
"Department of Public Health, Mental Health and Maternal and Child Health Nursing, Nursing School, Universitat de Barcelona, L'Hospitalet de Llobregat, Spain",5
"Hospital Universitario Río Hortega de Valladolid, Valladolid, Spain",5
"Instituto de Investigación Sanitaria Hospital 12 de Octubre (imas12), Madrid, Spain",5
"Unitat de Zoologia i Antropologia Biològica (Dpt. Biologia Evolutiva, Ecologia i Ciències Ambientals), Facultat de Biologia and Institut de Biomedicina (IBUB), University of Barcelona, CIBERSAM, Barcelona, Spain",5
"Department of Pathology, Hospital del Mar, Barcelona, Spain",5
"Centro de Investigación Biomédica en Red de Enfermedades Cardiovasculares (CIBERCV), Spain",5
"Department of Pathology, Hospital del Mar, 08003 Barcelona, Spain",5
"Intensive Care Clinical Unit, Hospital Universitario Virgen Macarena, Seville, Spain",5
"CREAF, Cerdanyola del Vallès, Spain",5
Department of Medicine and Life Sciences Universitat Pompeu Fabra  Barcelona Spain,5
"Neuropsychopharmacology and Psychobiology Research Group, Department of Psychology, University of Cádiz, Cádiz, Spain",5
"Instituto de Investigación Sanitaria del Principado de Asturias (ISPA), Spain",5
"Instituto de Investigación Sanitaria Aragón (IIS Aragón), Zaragoza, Spain",5
"Department of Medical Oncology, Hospital Universitario 12 de Octubre, Madrid, Spain",5
"Centre for Genomic Regulation (CRG), The Barcelona Institute of Science and Technology, Barcelona, Spain",5
"ISGlobal, Hospital Clínic, Universitat de Barcelona, Barcelona, Catalonia, Spain",5
"ISGlobal, Hospital Clínic, Universitat de Barcelona, Barcelona, Spain",5
"Department of Medicine and Life Sciences (MELIS), Universitat Pompeu Fabra, Barcelona, Spain",5
"Bioaraba Health Research Institute, Osakidetza Basque Health Service, Araba University Hospital, University of the Basque Country UPV/EHU, Vitoria-Gasteiz, Spain",5
"Department of Surgery, Universitat Autònoma de Barcelona, Barcelona, Spain",5
"Bioaraba Health Research Institute, Cardiovascular, Respiratory and Metabolic Area",5
"Department of Preventive Medicine and Public Health, University of Granada, 18016 Granada, Spain",5
"Research Group on Community Nutrition & Oxidative Stress, University of Balearic Islands, 07122 Palma de Mallorca, Spain",5
"Institute of Neurosciences, University of Barcelona, Barcelona, Spain",5
"PHAGEX Research Group, Blanquerna School of Health Science, Universitat Ramon Llull (URL), Barcelona, Spain",5
"Centre for Genomic Regulation (CRG), The Barcelona Institute for Science and Technology, Barcelona, Spain",5
"CIBER de Epidemiología y Salud Pública (CIBERESP), Instituto de Salud Carlos III, 28029 Madrid, Spain",5
"Hospital Universitario de Cruces, Barakaldo, Spain",5
"Neuroscience Research Program, IMIM-Hospital del Mar Research Institute, Barcelona, Spain",5
"Department of Endocrinology, Hospital Clinic, IDIBAPS, Barcelona, Spain",5
"Clinical & Experimental Respiratory Immunoallergy, IDIBAPS, CIBERES, University of Barcelona, Barcelona, Spain",5
"Hospital Santa Maria, IRBLleida, Lleida, Spain",5
"MRI Research Unit, Department of Radiology, Hospital del Mar, 08003 Barcelona, Spain",5
"Hematology Department, Hospital del Mar, Barcelona, Spain",5
"Hospital Universitario de Getafe, Universidad Europea, Madrid, Spain",5
"Hospital de la Santa Creu i Sant Pau, Barcelona, Spain",5
"Hospital Universitario de León, León, Spain",5
"Universitat Autònoma de Barcelona, E08193 Bellaterra (Cerdanyola del Vallès), Catalonia, Spain",5
"Nutritional Control of the Epigenome Group, Precision Nutrition and Obesity Program, IMDEA Food, CEI UAM + CSIC, 28049 Madrid, Spain",5
"Heart Diseases Biomedical Research Group, IMIM (Hospital del Mar Medical Research Institute), Barcelona, Spain",5
"August Pi I Sunyer Biomedical Research Institute (IDIBAPS), Barcelona, Spain",5
"Department of Medicine, Universitat Autònoma de Barcelona, 08193 Barcelona, Spain",5
"Bio-Heart Cardiovascular Diseases Research Group, Bellvitge Biomedical Research Institute (IDIBELL), L'Hospitalet de Llobregat, Barcelona, Spain",5
"Institut d’Investigacions Biomèdiques August Pi i Sunyer (IDIBAPS), Barcelona, Spain",5
"Biomedical Research Networking Center for Mental Health Network (CIBERSAM), Barcelona, Spain",4
Universitat Autònoma de Barcelona Barcelona Spain,4
"Department of Neurosurgery, Hospital del Mar, Barcelona, Spain",4
"Centro de Investigación Biomédica en Red de Enfermedades Respiratorias (CIBERES), Madrid, Spain",4
"Lipid Clinic, Department of Endocrinology and Nutrition, Institut d’Investigacions Biomèdiques August Pi Sunyer (IDIBAPS), Hospital Clínic, 08036 Barcelona, Spain",4
"Emergency Department, Hospital del Mar, Barcelona, Catalonia, Spain",4
"Hospital del Mar Medical Research Institute (IMIM), Spain",4
"IMIM-Hospital del Mar Medical Research Institute, Barcelona, Spain",4
"Departament de Química, Universitat Autònoma de Barcelona, Bellaterra, 08193 Barcelona, Spain",4
"Department of Medicine and Life Sciences (MELIS), Universitat Pompeu Fabra (UPF), Barcelona, Spain",4
"Department of Urology, Hospital Germans Trias i Pujol, Badalona, Spain",4
Institut d'Investigacions Biomèdiques August Pi i Sunyer (IDIBAPS)  Barcelona Spain,4
"CIBER Fisiopatología de la Obesidad y Nutrición (CIBEROBN), Instituto de Salud Carlos III (ISCIII), Madrid, Spain",4
"Department of Intensive Care Medicine, Hospital Universitario 12 de Octubre, Madrid, Spain",4
"Biomedical Research Institute Sant Pau (IIB Sant Pau), Barcelona, Spain",4
"Toronto 3D (Diet, Digestive Tract and Disease) Knowledge Synthesis and Clinical Trials Unit, Toronto, ON, Canada",4
"Department of Urology, Parc de Salut Mar, 08003 Barcelona, Spain",4
"Institució Catalana de Recerca i Estudis Avançats (ICREA), Pg. Lluís Companys 23, E-08010 Barcelona, Spain",4
"ISGlobal, Hospital Clínic – Universitat de Barcelona, Barcelona, Spain",4
"Department of Preventive Medicine, University of Valencia, 46100 Valencia, Spain",4
"CIBER de Obesidad y Nutrición (CIBEROBN), Madrid, Spain",4
"Department of Preventive Medicine and Public Health, IdiSNA, University of Navarra, Pamplona, Spain",4
"CIBER de Epidemiología y Salud Pública (CIBERESP), Madrid, Spain",4
"Department of Medicine and Life Sciences, Pompeu Fabra University, Barcelona, Spain",4
"Instituto de Neurociencias del Principado de Asturias (INEUROPA), Spain",4
"Department of Surgery and Morphologic Science, Orthopaedic Surgery Service, Universitat Autònoma de Barcelona, Hospital del Mar, Barcelona, Spain",4
"Barcelona Clinic Schizophrenia Unit, Hospital Clinic of Barcelona, Neuroscience Institute, Barcelona, Spain",4
"Catalonia Institute for Energy Research (IREC), Sant Adrià de Besòs, 08930 Barcelona, Spain",4
"Nutritional Genomics and Epigenomics Group, IMDEA Food, CEI UAM + CSIC, Madrid, Spain",4
"Institut d’Investigació Sanitària Pere Virgili (IISPV), 43204 Reus, Spain",4
"Research Unit, Department of Family Medicine, Distrito Sanitario Atención Primaria Sevilla, Sevilla, Spain",4
"Research Unit, Department of Family Medicine, Distrito Sanitario Atención Primaria Sevilla, 41013 Sevilla, Spain",4
These authors contributed equally to this work.,4
"Department of Medicine and Life Sciences, Universitat Pompeu Fabra (UPF), Barcelona, Spain",4
"Universitat Rovira i Virgili, Departament de Bioquímica i Biotecnologia, Unitat de Nutrició, 43201 Reus, Spain",4
"Department of Preventive Medicine and Public Health, University of Navarra, IdiSNA, Pamplona, Spain",4
"Biomedical Network Research Centre on Mental Health (CIBERSAM), Instituto de Salud Carlos III, Madrid, Spain",4
"Fundació Institut Universitari per a la Recerca a l’Atenció Primària de Salut Jordi Gol i Gurina (IDIAPJGol), 08007 Barcelona, Spain",4
"Department of Pathology, Hospital del Mar, Universitat Autònoma de Barcelona, Barcelona, Spain",4
"Centro de Investigación Biomédica en Red en Enfermedades Infecciosas (CIBERINFEC), Instituto de Salud Carlos III, Madrid, Spain",4
"Hospital de Mataró de Barcelona, Barcelona, Spain",4
"Nephrology Department, Hospital del Mar, Barcelona, Spain",4
"Autonomous University of Barcelona, Spain",4
"Unitat de Nutrició Humana, Departament de Bioquímica i Biotecnologia, Universitat Rovira i Virgili, 43201 Reus, Spain",4
"Department of Endocrinology, Instituto de Investigación Biomédica de Málaga (IBIMA), Virgen de la Victoria Hospital, University of Málaga, Málaga, Spain",4
"Department of Endocrinology, Virgen de la Victoria Hospital, Instituto de Investigación Biomédica de Málaga (IBIMA), University of Málaga, Málaga, Spain",4
"Centro de Investigación Biomédica en Red de Salud Mental, Instituto de Salud Carlos III, Spain",4
"Emergency Department, Hospital Universitario de Canarias, Tenerife, Spain",4
"Department of Internal Medicine, Bellvitge University Hospital, L'Hospitalet de Llobregat, Barcelona, Spain",4
"Universitat Autonoma de Barcelona, Barcelona, Spain",4
"Fundació Hospital del Mar Medical Research Institute (IMIM), Barcelona, Spain",4
"Servei de Neurologia, Hospital del Mar, Barcelona, Spain",4
"Grupo de Investigación en Enfermedades del Corazón (GREC), Instituto Hospital del Mar de Investigaciones Médicas (IMIM), Barcelona, Spain",4
"Department of Endocrinology, IDIBAPS, Hospital Clinic, University of Barcelona, 08036 Barcelona, Spain",4
"Fight AIDS and Infectious Diseases Foundation, Badalona, Spain",4
"Universitat Autònoma de Barcelona, Bellaterra (Cerdanyola del Vallès), Spain",4
"Hospital Universitario de Segovia, Segovia, Spain",4
"Hospital Clinic de Barcelona, Barcelona, Spain",4
"School of Medicine and Health Sciences, Universitat de Barcelona, Barcelona, Spain",4
"Department of Psychobiology and Methodology, Autonomous University of Barcelona, 08193 Barcelona, Spain",4
UAB - Universitat Autònoma de Barcelona = Autonomous University of Barcelona = Universidad Autónoma de Barcelona (UAB Campus 08193 Bellaterra Barcelona - Spain),4
"Mental Health Research Group, Hospital del Mar Medical Research Institute (IMIM), Barcelona, Spain",4
"Musculoskeletal Research Group, IMIM (Hospital del Mar Medical Research Institute), Centro de Investigación Biomédica en Red en Fragilidad y Envejecimiento Saludable (CIBERFES), ISCIII, Barcelona, Spain",4
"Spanish Consortium for Research on Epidemiology and Public Health (CIBERESP), Madrid, Spain",4
"Ciber on Epidemiology and Public Health (CIBERESP), Madrid, Spain",4
"Epidemiology Section, Public Health Division, Department of Health of Madrid, Madrid, Spain",4
Institució Catalana de Recerca i Estudis Avançats (ICREA)  Barcelona Spain,4
"Departament de Medicina, Universitat Autònoma de Barcelona, Barcelona, Spain",4
