raw_affiliation,DOI,display_name,institution_id,COUNTRY_CODE
"Departament de Matemàtiques i Informàtica, Universitat de Barcelona, Gran Via de les Corts Catalanes, 585, 08007, Barcelona, Spain",1,1,1,1
"Departament de Matemàtiques, Edifici Cc, Universitat Autònoma de Barcelona, 08193 Cerdanyola del Vallès, Barcelona, Spain",1,1,1,1
"Departament de Matemàtiques, Universitat Politècnica de Catalunya, Barcelona, Spain",1,1,1,1
"Departament de Matemàtiques, Universitat Politècnica de Catalunya, Campus Diagonal Besòs, Edifici A (EEBE), Av. Eduard Maristany 16, 08019, Barcelona, Spain",1,1,1,1
"Departament de Matemàtiques, Universitat Autònoma de Barcelona, 08193, Bellaterra, Spain",1,1,1,1
"Departament de Matemàtiques, Edifici Cc, Universitat Autònoma de Barcelona, 08193, Cerdanyola del Vallès, Barcelona, Spain",1,1,1,1
"Departamento de Matemáticas, Universidad del País Vasco/Euskal Herriko Unibertsitatea (UPV/EHU), Aptdo. 644, 48080, Bilbao, Spain",1,1,1,1
"Department de Matemàtiques i Informàtica, Universitat de Barcelona (UB), Barcelona, Spain",1,1,1,1
"Department of Econometrics, Statistics and Applied Economics, Riskcenter-IREA, University of Barcelona (UB), Barcelona, Spain",1,1,1,1
"Department of Environmental Chemistry, Institute of Environmental Assessment and Water Research (IDAEA-CSIC), Barcelona, Spain",1,1,1,1
"Department of Environmental Chemistry, Institute of Environmental Assessment and Water Research, IDAEA-CSIC, Jordi Girona, 18-26, 08034, Barcelona, Spain",1,1,1,1
"Department of Environmental Chemistry, Institute of Environmental Assessment and Water Research, IDAEA-CSIC, Jordi Girona, 18-26, Barcelona 08034, Spain",1,1,1,1
"Departamento de Matemàticas, Universidad Autónoma de Madrid, Ciudad Universitaria de Cantoblanco, 28049, Madrid, Spain",1,1,1,1
"Departament de Matemàtiques, Universitat Politècnica de Catalunya, Av. Diagonal 64, 08028, Barcelona, Spain",1,1,1,1
"Dept. de Matemàtiques i Informàtica, IAC3 Institute of Applied Computing and Community Code, Universitat de les Illes Balears, 07122, Palma, Illes Balears, Spain",1,1,1,1
"Dept. de Matemàtiques, Universitat Autònoma de Barcelona, Edifici C, 08193 Cerdanyola del Vallès, Barcelona, Spain",1,1,1,1
"Environmental and Food Safety Research Group, Desertification Research Centre CIDE (CSIC-UV-GV), University of Valencia (SAMA-UV), Moncada-Naquera Road Km 4.5, 46113, Moncada, Valencia, Spain",1,1,1,1
"Electronics and Biomedical Engineering Department, University of Barcelona, Barcelona, Spain",1,1,1,1
"Escola d'Enginyeria de Barcelona Est, Campus Diagonal Besòs, Edifici A (EEBE), Av. Eduard Maristany 16, 08019, Barcelona, Spain",1,0,1,1
"Fluvial Dynamics Research Group (RIUS), Universidad de Lleida",1,1,1,1
"Genomics, Bioinformatics and Evolution. Departament de Genètica i Microbiologia, Universitat Autònoma de Barcelona, 08193, Cerdanyola del Vallès, Spain",1,1,1,1
"Environmental and Food Safety Research Group-University of Valencia (SAMA-UV), Desertification Research Centre – CIDE (CSIC-UV-GV), Valencia, Spain",1,1,1,1
"Group of Mutagenesis, Department of Genetics and Microbiology, Faculty of Biosciences, Universitat Autònoma de Barcelona, Cerdanyola del Vallès, Spain",1,1,1,1
"ICMAT, C. Nicolás Cabrera, 13-15, 28049, Madrid, Spain",1,1,1,1
"IDAEA-CSIC, Barcelona and ICRA, Girona, Spain.",1,1,1,1
"IDAEA-CSIC, Barcelona, and ICRA, Girona, Spain",1,1,1,1
"Institució Catalana de Recerca i Estudis Avançats (ICREA), Passeig Lluís Companys 23, 08010, Barcelona, Spain",1,1,1,1
"Institució Catalana de Recerca i Estudis Avançats (ICREA), Passeig de Lluís Companys 23, Barcelona, 08010, Spain",1,0,1,1
"Department of Geography, Institute of Environment, IMA-UdG, University of Girona, 17071, Girona, Spain",1,1,1,1
"Departamento de Matemática Aplicada and Research Unit \Modeling Nature\ (MNat), Universidad de Granada, Avenida de la Fuente Nueva S/N, Granada, 18071, Spain",1,1,1,1
"Institut de Ciències del Mar (ICM) - CSIC, Barcelona, Spain",1,1,1,1
"Institut d'Organització i Control, Universitat Politècnica de Catalunya - Barcelona TECH, Av. Diagonal, 647, planta 11 (Edifici ETSEIB), Barcelona, Catalonia, 08028, Spain",1,1,1,1
"Institut de Matemàtiques de la UPC-BarcelonaTech (IMTech), Universitat Politècnica de Catalunya, Barcelona, Spain",1,1,1,1
Institut de Matemátiques de la UPC,1,1,1,1
"Institute of Environmental Assessment and Water Research (IDAEACSIC), Barcelona, Spain",1,1,1,1
"Institute of Parasitology and Biomedicine López-Neyra, CSIC, Parque Tecnológico de Ciencias de la Salud, Avenida del Conocimiento 17, Armilla, 18016, Spain",1,1,1,1
"Institut d’Investigacions Biomèdiques August Pi i Sunyer (IDIBAPS), Barcelona, Spain",1,1,1,1
"Institute of Environmental Assessment and Water Research (IDAEA), CSIC, C. Jordi Girona, 18-26, 08034, Barcelona, Spain",1,1,1,1
"Laboratory of Geometry and Dynamical Systems & IMTech, Department of Mathematics, Universitat Politècnica de Catalunya, Barcelona, Spain",1,1,1,1
"Laboratory of Geometry and Dynamical Systems, Universitat Politècnica de Catalunya & IMtech, EPSEB-UPC, Av. Dr. Marañón, 44-50, 08028, Barcelona, Spain",1,1,1,1
"Laboratory of Geometry and Dynamical Systems, Universitat Politècnica de Catalunya, EPSEB-UPC, Av. Dr. Marañón, 44-50, 08028, Barcelona, Spain",1,1,1,1
"Neuroscience BU, Starlab Barcelona S.L., Av Tibidabo 47 bis, Barcelona, Catalonia, 08035, Spain",1,1,1,1
"Physics Faculty, Electronics and Biomedical Engineering Department, University of Barcelona, Barcelona, Spain",1,1,1,1
"Psychosocial Risks, Organization of Work and Health (POWAH), Autonomous University of Barcelona (UAB), Cerdanyola del Vallès, Spain",1,1,1,1
"Instituto de Ciencias Matemáticas (CSIC-UAM-UCM-UCM3), Calle Nicolás Cabrera 15, Campus UAB, Cantoblanco, 28049, Madrid, Spain",1,1,1,1
"Laboratory of Geometry and Dynamical Systems & IMTech, Department of Mathematics, Universitat Politècnica de Catalunya and BCAM Bilbao, Mazarredo, 14, 48009, Bilbao Basque Country, Spain",1,1,1,1
"UB - Universitat de Barcelona (Gran Via de les Corts Catalanes, 585, 08007 Barcelona - Spain)",1,1,1,1
"Sustainability Cluster, School of Engineering, UPES, Dehradun, India",1,1,1,1
"Universitat Autònoma de Barcelona, Barcelona, Spain",1,1,1,1
Universitat Autònoma de Barcelona,1,1,1,1
"Universitat Politècnica de Catalunya, Department of Mathematics.",1,1,1,1
Universitat Politècnica de Catalunya-BarcelonaTech,1,1,1,1
"Universitat Pompeu Fabra & Centre d'Estudis del Patrimoni Arqueològic de la Prehistòria, Universitat Autònoma de Barcelona (CEPAP-UAB)",1,1,1,1
Universitat Rovira i Virgili,1,1,1,1
"University of Barcelona, Barcelona, Spain",1,1,1,1
"University of Girona, 17071 Girona, Spain",1,1,1,1
"University of Girona, Girona, Spain",1,1,1,1
"Water and Soil Quality Research Group, Department of Environmental Chemistry, IDAEA-CSIC, Barcelona, Spain",1,1,1,1
"Water and Soil Quality Research Group, Department of Environmental Chemistry, IDAEA-CSIC, Jordi Girona 18-26, 08034 Barcelona, Spain",1,1,1,1
"Water and Soil Quality Research Group, Department of Environmental Chemistry, IDAEA-CSIC, Jordi Girona 18-26, 08034, Barcelona, Spain",1,1,1,1
"Water and Soil Quality Research Group, Department of Environmental Chemistry, Institute of Environmental Assessment and Water Research (IDAEA-CSIC), Jordi Girona 1826, Barcelona 08034, Spain",1,1,1,1
of Málaga . of Ecology and Geology .,1,1,1,1
